Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Cabecera;7.689;54;1;1.493;3.629;2.473;14;8;8;9
05_Antioquia;;Centro poblado;1.106;1;0;573;438;93;0;0;1;0
05_Antioquia;;Rural disperso;9.949;107;7;4.676;3.483;1.325;129;180;37;5
05_Antioquia;05284_Frontino;Total;20.111;3.738;74;6.531;7.050;2.560;142;2;6;8
05_Antioquia;;Cabecera;8.042;75;19;1.467;3.941;2.392;142;2;0;4
05_Antioquia;;Centro poblado;1.451;38;0;918;492;3;0;0;0;0
05_Antioquia;;Rural disperso;10.618;3.625;55;4.146;2.617;165;0;0;6;4
05_Antioquia;05306_Giraldo;Total;5.057;42;10;3.965;1.010;29;0;0;0;1
05_Antioquia;;Cabecera;1.852;18;2;1.071;742;18;0;0;0;1
05_Antioquia;;Centro poblado;273;0;8;133;127;5;0;0;0;0
05_Antioquia;;Rural disperso;2.932;24;0;2.761;141;6;0;0;0;0
05_Antioquia;05308_Girardota;Total;48.310;77;113;3.230;38.904;5.149;467;196;108;66
05_Antioquia;;Cabecera;27.896;15;22;142;23.543;4.046;82;14;4;28
05_Antioquia;;Centro poblado;6.551;29;24;955;5.308;190;20;18;0;7
05_Antioquia;;Rural disperso;13.863;33;67;2.133;10.053;913;365;164;104;31
05_Antioquia;05310_Gómez Plata;Total;8.212;92;6;3.609;4.398;94;8;0;4;1
05_Antioquia;;Cabecera;4.239;22;3;1.199;2.967;44;3;0;0;1
05_Antioquia;;Centro poblado;540;9;0;256;267;8;0;0;0;0
05_Antioquia;;Rural disperso;3.433;61;3;2.154;1.164;42;5;0;4;0
05_Antioquia;05313_Granada;Total;9.203;185;17;3.355;2.449;2.927;7;0;1;262
05_Antioquia;;Cabecera;5.341;154;1;824;1.447;2.894;7;0;1;13
05_Antioquia;;Centro poblado;180;4;0;80;92;0;0;0;0;4
05_Antioquia;;Rural disperso;3.682;27;16;2.451;910;33;0;0;0;245
05_Antioquia;05315_Guadalupe;Total;5.452;97;1;2.675;2.541;129;3;0;0;6
05_Antioquia;;Cabecera;2.124;7;0;641;1.357;110;3;0;0;6
05_Antioquia;;Centro poblado;379;1;0;146;220;12;0;0;0;0
05_Antioquia;;Rural disperso;2.949;89;1;1.888;964;7;0;0;0;0
05_Antioquia;05318_Guarne;Total;42.034;281;76;4.696;20.239;15.651;851;175;29;36
05_Antioquia;;Cabecera;17.346;39;25;285;6.081;10.760;131;8;2;15
05_Antioquia;;Centro poblado;973;16;0;78;656;216;7;0;0;0
05_Antioquia;;Rural disperso;23.715;226;51;4.333;13.502;4.675;713;167;27;21
05_Antioquia;05321_Guatapé;Total;6.998;34;2;203;5.611;1.062;51;15;9;11
05_Antioquia;;Cabecera;5.208;1;0;33;4.422;746;3;0;0;3
05_Antioquia;;Centro poblado;452;7;0;10;367;55;9;4;0;0
05_Antioquia;;Rural disperso;1.338;26;2;160;822;261;39;11;9;8
05_Antioquia;05347_Heliconia;Total;4.709;52;27;1.962;2.552;105;4;0;2;5
05_Antioquia;;Cabecera;2.080;15;7;805;1.175;74;0;0;0;4
05_Antioquia;;Centro poblado;671;1;0;275;393;2;0;0;0;0
05_Antioquia;;Rural disperso;1.958;36;20;882;984;29;4;0;2;1
05_Antioquia;05353_Hispania;Total;4.950;28;0;757;3.391;767;0;0;4;3
05_Antioquia;;Cabecera;3.303;16;0;516;2.040;725;0;0;4;2
05_Antioquia;;Rural disperso;1.647;12;0;241;1.351;42;0;0;0;1
05_Antioquia;05360_Itagüí;Total;261.576;1.189;310;20.559;102.363;126.127;10.642;96;84;206
05_Antioquia;;Cabecera;234.939;799;137;12.492;88.540;121.978;10.626;96;78;193
05_Antioquia;;Centro poblado;22.504;256;106;6.425;13.024;2.673;8;0;4;8
05_Antioquia;;Rural disperso;4.133;134;67;1.642;799;1.476;8;0;2;5
05_Antioquia;05361_Ituango;Total;18.443;1.427;1.370;11.106;3.903;608;5;4;0;20
05_Antioquia;;Cabecera;6.526;67;44;2.248;3.561;589;5;4;0;8
05_Antioquia;;Centro poblado;1.945;67;191;1.527;145;6;0;0;0;9
05_Antioquia;;Rural disperso;9.972;1.293;1.135;7.331;197;13;0;0;0;3
05_Antioquia;05364_Jardín;Total;13.453;173;58;3.477;7.529;2.150;53;6;1;6
05_Antioquia;;Cabecera;7.069;28;8;1.320;3.815;1.839;48;6;1;4
05_Antioquia;;Centro poblado;346;13;0;237;93;3;0;0;0;0
05_Antioquia;;Rural disperso;6.038;132;50;1.920;3.621;308;5;0;0;2
05_Antioquia;05368_Jericó;Total;11.046;32;25;1.698;6.615;2.503;136;7;14;16
05_Antioquia;;Cabecera;6.814;23;12;393;4.086;2.286;1;4;3;6
05_Antioquia;;Centro poblado;247;0;0;42;197;8;0;0;0;0
05_Antioquia;;Rural disperso;3.985;9;13;1.263;2.332;209;135;3;11;10
05_Antioquia;05376_La Ceja;Total;58.787;80;71;796;12.739;39.525;4.181;1.327;31;37
05_Antioquia;;Cabecera;51.356;35;9;105;9.474;37.342;3.658;700;10;23
05_Antioquia;;Centro poblado;1.179;14;13;169;603;239;41;94;0;6
05_Antioquia;;Rural disperso;6.252;31;49;522;2.662;1.944;482;533;21;8
05_Antioquia;05380_La Estrella;Total;67.002;165;96;5.668;34.215;18.558;7.514;618;94;74
05_Antioquia;;Cabecera;57.451;123;64;3.537;28.927;17.168;7.127;427;20;58
05_Antioquia;;Centro poblado;3.296;3;0;811;2.331;74;69;7;0;1
05_Antioquia;;Rural disperso;6.255;39;32;1.320;2.957;1.316;318;184;74;15
05_Antioquia;05390_La Pintada;Total;7.974;109;2;3.391;3.646;557;145;97;11;16
05_Antioquia;;Cabecera;7.056;82;2;3.208;3.214;438;93;3;0;16
05_Antioquia;;Centro poblado;421;7;0;108;306;0;0;0;0;0
05_Antioquia;;Rural disperso;497;20;0;75;126;119;52;94;11;0
05_Antioquia;05400_La Unión;Total;20.738;44;54;1.817;14.918;3.769;24;11;0;101
05_Antioquia;;Cabecera;12.557;3;6;992;9.142;2.371;16;5;0;22
05_Antioquia;;Centro poblado;716;3;0;13;383;317;0;0;0;0
05_Antioquia;;Rural disperso;7.465;38;48;812;5.393;1.081;8;6;0;79
05_Antioquia;05411_Liborina;Total;7.902;61;104;3.905;3.032;613;6;0;3;178
05_Antioquia;;Cabecera;2.207;4;8;930;712;543;6;0;0;4
05_Antioquia;;Centro poblado;1.814;15;29;591;1.055;61;0;0;3;60
05_Antioquia;;Rural disperso;3.881;42;67;2.384;1.265;9;0;0;0;114
05_Antioquia;05425_Maceo;Total;7.292;141;20;3.291;3.618;210;5;6;0;1
05_Antioquia;;Cabecera;2.968;11;0;502;2.300;152;0;2;0;1
05_Antioquia;;Centro poblado;988;17;3;547;387;29;5;0;0;0
05_Antioquia;;Rural disperso;3.336;113;17;2.242;931;29;0;4;0;0
05_Antioquia;05440_Marinilla;Total;55.225;152;69;2.929;18.131;32.861;968;71;28;16
05_Antioquia;;Cabecera;40.822;44;13;184;9.571;30.339;627;12;22;10
05_Antioquia;;Rural disperso;14.403;108;56;2.745;8.560;2.522;341;59;6;6
05_Antioquia;05467_Montebello;Total;5.881;150;26;3.260;1.743;694;1;0;2;5
05_Antioquia;;Cabecera;1.649;13;10;291;672;657;1;0;0;5
05_Antioquia;;Centro poblado;171;0;0;76;95;0;0;0;0;0
05_Antioquia;;Rural disperso;4.061;137;16;2.893;976;37;0;0;2;0
05_Antioquia;05475_Murindó;Total;4.642;1.116;1.146;635;52;2;1;4;1;1.685
05_Antioquia;;Cabecera;1.565;14;81;169;50;2;1;4;1;1.243
05_Antioquia;;Centro poblado;647;0;0;377;0;0;0;0;0;270
05_Antioquia;;Rural disperso;2.430;1.102;1.065;89;2;0;0;0;0;172
05_Antioquia;05480_Mutatá;Total;12.602;1.949;242;8.263;2.058;64;2;7;0;17
05_Antioquia;;Cabecera;4.953;229;45;2.642;1.960;64;2;7;0;4
